ID,ID2,"Item title","Final URL","Image URL","Item subtitle","Item description","Item category",Price
404,3051,"Túi xách nữ da bò Kamicy 404",http://kacana.vn/san-pham/tui-xach-nu-da-bo-kamicy-404--404--3051,http://image.kacana.vn/images/product/tui-xach-nu-da-bo-kamicy-404-1514845682.jpg,"Túi xách nữ da bò Kamicy 404","Túi xách nữ da bò Kamicy 404 hàng hiệu giá rẻ, da thật cao cấp, thời trang hàn quốc nhỏ gọn, đeo chéo được. Túi đẹp dự tiệc hay đến công sở đều phù hợp.",,"1,399,000 VND"
1754,2527,"Túi xách nữ công sở Cannci 1754",http://kacana.vn/san-pham/tui-xach-nu-cong-so-cannci-1754--1754--2527,http://image.kacana.vn/images/product/tui-xach-nu-cong-so-cannci-1754-1514878833.jpg,"Túi xách nữ công sở Cannci 1754","Túi xách nữ công sở Cannci 1754 size lớn, xách tay rất đẹp, chất da cao cấp, đây là mẫu túi hàng hiệu giá rẻ mà chị em luôn săn đón năm qua.",,"580,000 VND"
1768,3108,"Túi xách nữ cao cấp Ting 1768",http://kacana.vn/san-pham/tui-xach-nu-cao-cap-ting-1768--1768--3108,http://image.kacana.vn/images/product/Túi%20xách%20hàn%20quốc%20cao%20cấp%20Ting%20W1768%201489995628.jpg,"Túi xách nữ cao cấp Ting 1768","Túi xách nữ cao cấp thời trang hàn quốc Ting 1768 thiết kế mới lạ, đẹp tinh tế, là phụ kiện thân thiết đến công sở, dự tiệc, đi chơi dạo phố hay du lịch xa.",,"985,000 VND"
1774,2196,"Bóp cầm tay nữ hàng hiệu Junlan 1774",http://kacana.vn/san-pham/bop-cam-tay-nu-hang-hieu-junlan-1774--1774--2196,http://image.kacana.vn/images/product/Bóp%20cầm%20tay%20nữ%20hàng%20hiệu%20Junlan%20W1774%201489659038.jpg,"Bóp cầm tay nữ hàng hiệu Junlan 1774","Bóp cầm tay nữ hàng hiệu Junlan 1774 là mẫu ví nữ da thật cao cấp, gam màu đen sang trọng, hàng hiệu giá rẻ, thiết kế thời trang rất đẹp và tinh tế.",,"990,000 VND"
1814,2196,"Ví da nữ cao cấp XMO 1814",http://kacana.vn/san-pham/vi-da-nu-cao-cap-xmo-1814--1814--2196,http://image.kacana.vn/images/product/vi-da-nu-cao-cap-xmo-1814-1514892633.jpg,"Ví da nữ cao cấp XMO 1814","Ví da nữ cao cấp XMO 1814 sản xuất từ da bò thật, thiết kế đẹp, thời trang sang trọng, cầm tay nhỏ gọn, ví có nhiều ngăn để đựng tiền, thẻ ATM...",,"800,000 VND"
1824,2876,"Ba lô nữ mini D.Dore 1824",http://kacana.vn/san-pham/ba-lo-nu-mini-ddore-1824--1824--2876,http://image.kacana.vn/images/product/Balo%20nữ%20mini%20D.Dore%20W1824%201489511557.jpg,"Ba lô nữ mini D.Dore 1824","Thỉnh thoảng bạn nên làm mới mình với Ba lô nữ mini D.Dore 1824, tạo một hình ảnh mới trẻ trung, tươi vui hơn. Bạn sẽ thấy thật tự tin và thoải mái dù đi đến bất kỳ đâu với chiếc Ba lô nữ mini D.Dore 1824. Ba lô nữ mini D.Dore 1824 kiểu dáng mini siêu nhỏ, chất liệu da cao cấp, chuẩn phom dáng, hoàn hảo trên từng góc cạnh.",,"550,000 VND"
1832,2878,"Balo nữ dễ thương Northbag 1832",http://kacana.vn/san-pham/balo-nu-de-thuong-northbag-1832--1832--2878,http://image.kacana.vn/images/product/Balo%20nữ%20dễ%20thương%20Northbag%20W1832%201489508733.jpg,"Balo nữ dễ thương Northbag 1832","Balo nữ dễ thương Northbag 1832 là mẫu balo được dự đoán sẽ thống trị khắp các nẻo đường street style trong năm 2017. Balo nữ dễ thương Northbag 1832 kết hợp cùng những bộ trang phục mềm mai nữ tính chính là lựa chọn hợp lý nhất cho bạn khi cần gợi ý phối đồ. Balo với chi tiết hai nơ tua ấn tượng. Hiện đại, tinh tế và cực kỳ có gu là những mỹ từ có thể nói đến về Balo nữ dễ thương Northbag 1832 này. Cứ ngỡ chiếc balo chỉ gắn liền với lớp thiếu niên đến trường, nhưng Balo nữ dễ thương Northbag 1832 là một dòng túi đeo đáng chú ý vì sự tiên dụng kết hợp cả thẩm mỹ, một điều không phải lúc nào cũng gặp trong thế giới thời trang hiện nay.",,"650,000 VND"
1833,387,"Balo laptop hàng hiệu YOK 1833",http://kacana.vn/san-pham/balo-laptop-hang-hieu-yok-1833--1833--387,http://image.kacana.vn/images/product/balo-laptop-hang-hieu-yok-1833-1512541239.jpg,"Balo laptop hàng hiệu YOK 1833","Balo laptop hàng hiệu YOK 1833 ý tưởng thiết kế lấy từ cảm hứng những doanh nhân thành đạt kết hợp cùng phong cách thường ngày năng động. Balo laptop hàng hiệu YOK 1833 gắn kết những người thân xung quanh bạn, hãy dành tặng chiếc balo này cho ông xã bạn, tặng đồng nghiệp hay bạn bè, quà tặng sếp và những người bạn kính trọng...",,"1,320,000 VND"
1838,2455,"Ví nữ ngắn hàn quốc XMO 1838",http://kacana.vn/san-pham/vi-nu-ngan-han-quoc-xmo-1838--1838--2455,http://image.kacana.vn/images/product/ví%20nữ%20ngắn%20hàn%20quốc%20da%20bò%20khoá%20bấm%20ngang%20retro%20XMO%20W1838%201489468417.jpg,"Ví nữ ngắn hàn quốc XMO 1838","Ví nữ ngắn hàn quốc XMO 1838 nhỏ nhắn, xinh xắn với nhiều màu sắc chọn lựa. Ví nữ ngắn hàn quốc XMO 1838 chất liệu da bò cao cấp, bóng đẹp, dùng càng lâu ví càng đẹp. Nếu không thích ví dài hãy thử ngay chiếc ví nhỏ xinh này.",,"800,000 VND"
1842,2453,"Túi xách cho bé Bug House 1842",http://kacana.vn/san-pham/tui-xach-cho-be-bug-house-1842--1842--2453,http://image.kacana.vn/images/product/Túi%20xách%20cho%20bé%20gái%20Bug%20House%20W1842%201488913875.jpg,"Túi xách cho bé Bug House 1842","Túi xách cho bé Bug House 1842 kiểu dáng dễ thương, màu sắc sinh động phù hợp tâm lý các bé nhỏ. Túi xách cho bé Bug House 1842 chất liệu cotton thiên nhiên an toàn cho da bé, túi cũng dễ dàng giặt sạch. Sẽ rất hợp cho bé diện Tết này nha.",,"300,000 VND"
