ProvinceName,ProvinceID,ProvinceCode,DistrictName,DistrictCode,DistrictID,WardName,Code,WardCode
An Giang,217,76,Thành ph_ Long Xuyên,5101,1566,Ph__ng M_ Bình,1,510101
An Giang,217,76,Thành ph_ Long Xuyên,5101,1566,Ph__ng M_ Long,2,510102
An Giang,217,76,Thành ph_ Long Xuyên,5101,1566,Ph__ng _ông Xuyên,3,510103
An Giang,217,76,Thành ph_ Long Xuyên,5101,1566,Ph__ng M_ Xuyên,4,510104
An Giang,217,76,Thành ph_ Long Xuyên,5101,1566,Ph__ng Bình __c,5,510105
An Giang,217,76,Thành ph_ Long Xuyên,5101,1566,Ph__ng Bình Khánh,6,510106
An Giang,217,76,Thành ph_ Long Xuyên,5101,1566,Ph__ng M_ Ph__c,7,510107
An Giang,217,76,Thành ph_ Long Xuyên,5101,1566,Ph__ng M_ Quý,8,510108
An Giang,217,76,Thành ph_ Long Xuyên,5101,1566,Ph__ng M_ Th_i,9,510109
An Giang,217,76,Thành ph_ Long Xuyên,5101,1566,Ph__ng M_ Th_nh,10,510110
An Giang,217,76,Thành ph_ Long Xuyên,5101,1566,Ph__ng M_ Hòa,11,510111
An Giang,217,76,Thành ph_ Long Xuyên,5101,1566,Xã M_ Khánh,12,510112
An Giang,217,76,Thành ph_ Long Xuyên,5101,1566,Xã M_ Hoà H_ng,13,510113
An Giang,217,76,Thành ph_ Châu __c,5102,1753,Ph__ng Châu Phú B,1,510201
An Giang,217,76,Thành ph_ Châu __c,5102,1753,Ph__ng Châu Phú A,2,510202
An Giang,217,76,Thành ph_ Châu __c,5102,1753,Ph__ng V_nh M_,3,510203
An Giang,217,76,Thành ph_ Châu __c,5102,1753,Ph__ng Núi Sam,4,510204
An Giang,217,76,Thành ph_ Châu __c,5102,1753,Ph__ng V_nh Ng__n,5,510205
An Giang,217,76,Thành ph_ Châu __c,5102,1753,Xã V_nh T_,6,510206
An Giang,217,76,Thành ph_ Châu __c,5102,1753,Xã V_nh Châu,7,510207
An Giang,217,76,Huy_n An Phú,5103,1754,Th_ tr_n An Phú,1,510301
An Giang,217,76,Huy_n An Phú,5103,1754,Xã Khánh An,2,510302
An Giang,217,76,Huy_n An Phú,5103,1754,Th_ Tr_n Long Bình,3,510303
An Giang,217,76,Huy_n An Phú,5103,1754,Xã Khánh Bình,4,510304
An Giang,217,76,Huy_n An Phú,5103,1754,Xã Qu_c Thái,5,510305
